hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card,random_noise
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0816930860814515
Resort Hotel,0.0,1.0,2017.0,March,9.0,1.0,0.0,1.0,1.0,0.0,0.0,BB,PRT,Corporate,Direct,1.0,0.0,2.0,A,A,0.0,No Deposit,,255.0,0.0,Transient,42.0,1.0,0.0,Check-Out,2017-03-02,Aaron Taylor,Taylor_Aaron@xfinity.com,521-730-9244,************5299,0.931869728719563
City Hotel,0.0,14.0,2016.0,May,22.0,27.0,0.0,1.0,1.0,0.0,0.0,BB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,21.0,,0.0,Transient-Party,62.5,0.0,0.0,Check-Out,2016-05-28,Michael Ramirez,Michael.R@mail.com,489-341-2695,************1495,-1.154425412060482
City Hotel,1.0,309.0,2015.0,August,34.0,22.0,2.0,1.0,2.0,0.0,0.0,BB,PRT,Groups,TA/TO,0.0,1.0,0.0,A,A,0.0,No Deposit,1.0,,0.0,Transient-Party,62.8,0.0,0.0,Canceled,2015-01-01,Thomas Salazar,Salazar.Thomas@yahoo.com,278-402-4999,************3917,0.6827119532029876
City Hotel,1.0,288.0,2015.0,October,42.0,16.0,0.0,2.0,1.0,0.0,0.0,HB,PRT,Offline TA/TO,TA/TO,0.0,1.0,0.0,A,A,1.0,Non Refund,6.0,,0.0,Transient-Party,80.0,0.0,0.0,Canceled,2015-07-06,Jason Pittman,Pittman_Jason@yahoo.com,696-410-7276,************4889,0.7520532495202161
City Hotel,1.0,240.0,2016.0,October,43.0,21.0,1.0,2.0,2.0,0.0,0.0,BB,PRT,Groups,TA/TO,0.0,0.0,0.0,A,A,0.0,Non Refund,37.0,,0.0,Transient,110.0,0.0,0.0,Canceled,2016-03-15,Kenneth Fox,KFox@comcast.net,298-191-8265,************1834,0.6947083552269684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0928645178188563
City Hotel,0.0,6.0,2017.0,May,20.0,14.0,2.0,1.0,1.0,0.0,0.0,BB,PRT,Groups,Corporate,0.0,0.0,0.0,A,A,2.0,No Deposit,,169.0,0.0,Transient-Party,120.0,0.0,0.0,Check-Out,2017-05-17,Sydney Roberts,Sydney_Roberts@zoho.com,503-437-2804,************5932,0.7901002574942108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.84577914949942
Resort Hotel,0.0,0.0,2016.0,June,25.0,15.0,0.0,1.0,1.0,0.0,0.0,BB,ESP,Direct,TA/TO,1.0,0.0,2.0,A,G,0.0,No Deposit,,,0.0,Transient,79.0,1.0,1.0,Check-Out,2016-06-16,Mary Mckee,Mckee.Mary@hotmail.com,702-229-1817,************1638,0.5881916533417003
